destination|lat|long
Bezdead|45.15|25.5167
Orsova|44.7|22.4
Rediu|46.9|27.5833
Bronka Port|59.9167|29.6667
Engels|51.5|46.1167
Kalyazin|57.2333|37.8333
Koltogorskiye|60.6667|77.4667
Krasnoturansk|54.3167|91.55
Taman'|45.2167|36.7167
Bohus|57.85|12
Karlsborg Axelvik|65.8|23.2833
Marstrand|57.8833|13.5833
Norrsundet|60.95|17.1333
Simpevarp|57.4167|16.6667
V�lberg|59.4|13.1667
Sveagruva|77.85|16.65
Spissk� Stiavnik|49|20.3667
Tartus Oil Terminal|34.9667|35.8833
Mae Klong|13.3667|99.9833
Prachuap Port|11.2|99.5833
Chebba|35.2333|11.1
Baba Point|39.4667|26.0667
Beylerbeyi|41.05|29.05
B�y�k�ukur|41.0667|35.9667
Gebze|40.7833|29.4167
Claxton Bay|10.35|-61.4667
Vylkove|45.4|29.5833
Alachua|29.7833|-82.4833
Andover|37.7|-97.1333
Avalon|33.3333|-118.317
Bay City|44.6|-92.45
Blairesville|34.85|-83.9333
Cape Henry|36.9167|-76.0167
Centralia|39.2167|-92.1333
Coal Center|40.0667|-79.9
Corralitos|36.9833|-121.8
Elk Horn|37.3|-85.2833
Eudora|33.1|-91.25
Fairmount|34.4333|-84.7
Fawnskin|34.2667|-116.933
Grayson|33.8833|-83.95
Guildhall|44.5667|-71.5667
Hawesville|37.9|-86.75
Huntington Woods|42.4667|-83.1667
Jacinto City|29.7667|-95.2333
Lake Waccamaw|34.3167|-78.5
Lanett|32.85|-85.1833
Long Reach|39.4833|-81.0833
Lyle|45.6833|-121.283
New Smyrna Beach|29.0333|-80.9333
North Woodstock|44.0167|-71.6833
Norwood|39.8833|-75.3
Oak Bluffs|41.45|-70.5667
Oakboro|35.2167|-80.3167
Ocoee|35.1167|-84.7167
Paisley|28.9833|-81.5333
Rosenberg|29.55|-95.8
Sag Harbor|41.0167|-72.3
South Saint Paul|44.8833|-93.05
Spring Grove|42.4333|-88.1833
Stockton|37.95|-121.283
Stony Point|41.2167|-73.9833
Tams|37.65|-81.3
Tatoosh Island|48.3833|-124.733
Tchula|33.1833|-90.2167
Troy|38|-86.8
Tubac|31.6167|-111.05
Tupper Lake|44.2167|-74.4667
Ulm|34.5667|-91.45
Vashon Island|47.4167|-122.467
Westport|39.6333|-123.767
Williamston|42.6833|-84.2833
Winnetka|42.1|-87.7333
Woodbury|41.35|-74.1
Woodmere|41.45|-81.4667
Zumbrota|44.2833|-92.6667
Ciudad Bol�var|8.11667|-63.55
Binh Minh|10.3333|105.817
Dam Mon|12.6667|109.4
Ho Chi Minh City|10.7667|106.667
Long Binh Tan|10.9333|106.833
Tra Noc|10.1|105.7
Gwanda|-20.9333|29
Zimbabwe|-20.2667|30.9167
