destination|lat|long
Farchant|47.5333|11.1167
Feuerbach|48.8|9.15
Flieden|50.4167|9.56667
Forst an der Weinstrasse|49.4167|8.18333
Fremdingen|48.9667|10.4667
Friedrichsfeld|51.6333|6.65
Fuldabr�ck|51.2333|9.46667
G�rtringen|48.65|8.9
Gehofen|51.3167|11.3167
Gettorf|54.3833|9.96667
Glash�tten|47.6167|7.95
Gneven|53.6333|11.5667
Gonzerath|49.8667|7.11667
Graben|48.2|10.8167
Grammdorf|54.2667|10.8167
Grenderich|50.0667|7.23333
Gronau|52.0833|9.78333
Gross Rosenburg|51.9167|11.9
Grossensiel|53.4667|8.48333
Grosspostwitz|51.1167|14.45
Gr�nberg (Jagstzell)|49.0333|10.1
G�llesheim|50.6|7.51667
Guteneck|49.45|12.2833
Hagen im Bremischen|53.3667|8.65
Hammah|53.6167|9.36667
Hasborn|50.05|6.91667
Hauenstein|49.1833|7.85
Heede (Emsland)|53|7.3
Heiligenstadt|51.3667|10.1167
Helmbrechts|50.2333|11.7
Henschtal|49.45|7.4
Hilburghausen|50.4167|10.75
Hirschfelde|50.95|14.9
Hochstetten|49.7667|7.81667
Hohendubrau|51.2333|14.6667
Holungen|51.4833|10.3833
Horbach|49.3333|7.65
Hottenbach|49.8333|7.3
Hungen-Inheiden|50.45|8.9
Igenhausen|48.4667|11.05
Inden|50.8667|6.35
Issum|51.5333|6.41667
Jestetten|47.65|8.56667
Kabelhorst|54.2167|10.9167
Kaltensundheim|50.6167|10.1667
Kaufbeuren|47.8833|10.6333
Kerkingen|48.9|10.35
Kirchheim|48.05|12.7833
Kleintettau|50.4667|11.2667
Knuellwald|51.0333|9.51667
K�nigsbach-Stein|48.9667|8.61667
Korbussen|50.8833|12.1667
Kranenburg|51.7833|6.01667
Krummh�rn|53.4333|7.08333
Langenlehsten|53.5|10.7333
Lanz|53.0667|11.6
Laufenthal|49.0667|11.8167
Leeseringen|52.6|9.15
Lichte|50.5167|11.1833
Lilienthal|54.3|10.3
Losheim|49.5|6.75
Ludwigsau|50.8833|9.73333
Lutter am Barenberge|51.9833|10.2667
Mainzlar|50.6667|-8.73333
Marbach|50.6167|9.71667
Markt Einersheim|49.6833|10.3
Martinsthal|50.05|8.11667
Mechelgr�n|50.4833|12.2333
Meiningen|50.5667|10.4
Merbelsrod|50.4833|10.85
Mettingen|52.3167|7.76667
Minsen|53.7|7.96667
Moellenhagen|53.5333|12.9333
M�nkloh|53.8833|9.78333
Morschen|51.05|9.6
Muhlburg|51.4333|13.2167
M�lheim-K�rlich|50.3833|7.5
M�nster-Osnabr�ck International Apt|52.1333|7.68333
N�thern|51.0667|12.1
Neichen|50.2667|6.86667
Neu K�nigsaue|51.8167|11.4
Neueng�nna|50.9667|11.65
Neuharlingersiel|53.7|7.7
Neukirchen-Vluyn|51.4333|6.56667
Neus�ss|48.4|10.8333
Nickenich|50.4167|7.33333
Niederkail|49.9833|6.75
Niederweimar|50.7667|8.73333
Nisterau|50.65|7.98333
Nordhorn|52.4333|7.08333
Nussdorf|47.9|12.6
Oberdorla|51.1667|10.4167
Oberleichtersbach|50.2833|9.8
Oberrot|49.0167|9.63333
Oberwinter|50.6|7.2
Oersdorf|53.8333|9.98333
Ornbau|49.1667|10.65
Ostermoor|53.9|9.18333
Ottenstein|51.95|9.4
Palzem|49.5667|6.36667
Pautzfeld|49.7667|11.0167
Petersberg|49.2333|7.56667
Pf�rring|48.8167|11.6833
Pokrent|53.65|11.15
Pottenstein|49.7667|11.4
Probsteierhagen|54.3667|10.2833
Quaal|53.9667|10.3667
Raitenbuch|49.1833|11.8333
Rastorf|54.2667|10.2833
