destination|lat|long|cluster
Tollebeek|52.6833|5.68333|170
Usquert|53.4333|6.55|15
Avaldsnes|59.35|5.26667|59
Brandsfjord|64.1833|10.35|34
Flat�y|60.5333|5.25|59
God�ya|62.4667|6.01667|145
H�gset|67.1333|15.0167|123
Kollsnes|60.5667|4.81667|59
Lenangs�yra|69.8167|19.9833|107
Luster|61.4333|7.45|145
R�rvik|64.85|11.2333|34
Sarpsborg|59.2667|11.1|168
Snefjord|70.8|24.5667|13
Stadlandet|62.1333|5.31667|145
Svelvik|59.6|10.4|168
Torangsv�g|60.1167|5.16667|59
Ulstein|62.3667|5.81667|145
Vannavalen|70.1167|19.9667|107
Otematata|-44.6167|170.267|50
Marcona|-15.3667|-75.1667|60
Bora Bora|-16.45|-151.75|88
Raivavae|-23.8833|-147.667|14
Caution Bay|-9.33333|146.933|62
Cagdianao|9.91667|125.667|29
Larena|9.25|123.583|29
Lugait|8.33333|124.25|29
Kiamari|24.8167|66.9667|76
Miedzyzdroje|53.9333|14.45|78
Osin�w Dolny|52.85|14.15|78
Wolin|53.85|14.6167|78
Nariz|40.5333|-8.6|43
BGN/PCGN1956 - HAMAD|25.0|51.6167|132
Sainte-Suzanne|-20.9|55.6|40
Bezdead|45.15|25.5167|130
Orsova|44.7|22.4|154
Rediu|46.9|27.5833|66
Bronka Port|59.9167|29.6667|176
Engels|51.5|46.1167|54
Kalyazin|57.2333|37.8333|79
Koltogorskiye|60.6667|77.4667|19
Krasnoturansk|54.3167|91.55|63
Taman'|45.2167|36.7167|68
Bohus|57.85|12.0|52
Karlsborg Axelvik|65.8|23.2833|101
Marstrand|57.8833|13.5833|52
Norrsundet|60.95|17.1333|136
Simpevarp|57.4167|16.6667|111
V�lberg|59.4|13.1667|52
Sveagruva|77.85|16.65|87
Spissk� Stiavnik|49.0|20.3667|169
Tartus Oil Terminal|34.9667|35.8833|153
Mae Klong|13.3667|99.9833|86
Prachuap Port|11.2|99.5833|86
Chebba|35.2333|11.1|93
Baba Point|39.4667|26.0667|17
Beylerbeyi|41.05|29.05|122
B�y�k�ukur|41.0667|35.9667|128
Gebze|40.7833|29.4167|122
Claxton Bay|10.35|-61.4667|159
Vylkove|45.4|29.5833|66
Alachua|29.7833|-82.4833|102
Andover|37.7|-97.1333|135
Avalon|33.3333|-118.317|33
Bay City|44.6|-92.45|85
Blairesville|34.85|-83.9333|56
Cape Henry|36.9167|-76.0167|161
Centralia|39.2167|-92.1333|108
Coal Center|40.0667|-79.9|137
Corralitos|36.9833|-121.8|82
Elk Horn|37.3|-85.2833|96
Eudora|33.1|-91.25|77
Fairmount|34.4333|-84.7|56
Fawnskin|34.2667|-116.933|33
Grayson|33.8833|-83.95|56
Guildhall|44.5667|-71.5667|131
Hawesville|37.9|-86.75|96
Huntington Woods|42.4667|-83.1667|155
Jacinto City|29.7667|-95.2333|20
Lake Waccamaw|34.3167|-78.5|2
Lanett|32.85|-85.1833|56
Long Reach|39.4833|-81.0833|137
Lyle|45.6833|-121.283|7
New Smyrna Beach|29.0333|-80.9333|102
North Woodstock|44.0167|-71.6833|131
Norwood|39.8833|-75.3|94
Oak Bluffs|41.45|-70.5667|175
Oakboro|35.2167|-80.3167|2
Ocoee|35.1167|-84.7167|56
Paisley|28.9833|-81.5333|102
Rosenberg|29.55|-95.8|20
Sag Harbor|41.0167|-72.3|94
South Saint Paul|44.8833|-93.05|85
Spring Grove|42.4333|-88.1833|25
Stockton|37.95|-121.283|82
Stony Point|41.2167|-73.9833|94
Tams|37.65|-81.3|137
Tatoosh Island|48.3833|-124.733|7
Tchula|33.1833|-90.2167|77
Troy|38.0|-86.8|96
Tubac|31.6167|-111.05|83
Tupper Lake|44.2167|-74.4667|32
Ulm|34.5667|-91.45|77
Vashon Island|47.4167|-122.467|7
Westport|39.6333|-123.767|167
Williamston|42.6833|-84.2833|155
Winnetka|42.1|-87.7333|25
Woodbury|41.35|-74.1|94
Woodmere|41.45|-81.4667|64
Zumbrota|44.2833|-92.6667|85
Ciudad Bol�var|8.11667|-63.55|80
Binh Minh|10.3333|105.817|3
Dam Mon|12.6667|109.4|143
Ho Chi Minh City|10.7667|106.667|3
Long Binh Tan|10.9333|106.833|3
Tra Noc|10.1|105.7|3
Gwanda|-20.9333|29.0|9
Zimbabwe|-20.2667|30.9167|9
