Judendorf|47.1167|15.35
Kammern im Liesingtal|47.4|14.9
Kematen in Tirol|47.25|11.2667
Ketzelsdorf|48.65|16.65
Knittelfeld|47.2|14.8167
Krummnussbaum|48.2167|15.1667
Krustetten|48.3667|-154
Langenzersdorf|48.3|16.35
Lembach|48.4833|13.8833
Leutschach|46.6667|15.4667
Limberg|48.5833|15.8667
Manning|48.0833|13.6667
Marbach an der Donau|48.2167|15.15
Markt Allhau|47.2333|16.0833
Mitterkirchen|48.1833|14.7
Morbisch am See|47.75|16.6667
Muthmannsdorf|47.8333|16.1
Neudegg|48.4833|15.8833
Neufelden|48.4833|13.9833
Neuhofen an der Ybbs|48.05|14.85
Nickelsdorf|47.9333|17.0667
N�ziders|47.1833|9.8
Oehling|48.1|14.8
Oggau|47.8333|16.6667
Ottensheim|48.3333|14.1833
Paternion|46.7|13.6333
Persenbeug|48.1833|15.0667
Petzenkirchen|48.1333|15.15
Podersdorf am See|47.85|16.8333
Prinzersdorf|48.2|15.5167
Radstadt|47.3833|13.45
Ranshofen|48.2333|13
Regau|48.0833|14.1333
Rietz|47.2833|11.05
Rohrau|48.0667|16.85
Ruhrsdorf|48.4|15.5
Sankt Aegidi|48.4833|13.75
Sankt Georgen bei Salzburg|47.9833|12.8833
Sankt Margarethen an der Raab|47.05|15.75
Sankt Margrethen|46.6333|14.3833
Sankt Stefan ob Stainz|46.9167|15.25
Sankt Ulrich|48.6|16.7667
Sankt Veit im M�hlkreis|48.4667|14.15
Sch�nau im M�hlkreis|48.3833|14.7333
Schrattenthal|48.7|15.9
Schutzen am Gebirge|47.85|16.6167
Senftenberg|48.4333|15.55
Spannberg|48.45|16.7333
Spitz|48.3667|15.4167
Steeg|47.6|13.6333
Steinberg|47.4833|16.4833
Steinhaus|48.1167|14.0167
Straden|46.8|15.8667
Tamsweg|47.1333|13.8
Taufkirchen an der Pram|48.4167|13.5333
Terfens|47.3167|11.65
Theiss|48.3833|15.6833
Traismauer|48.3333|15.7333
Velden|46.6167|14.05
Vordernberg|47.4667|15
Wallsee|48.1667|14.7167
Weinburg|48.1|15.5167
Weitendorf|46.8833|15.4667
Wulkaprodersdorf|47.8|16.5
Zobing|48.4833|15.6833
Abbot Point|-19.9|148.083
Abell Point|-20.2667|148.717
Adelaide|-34.9167|138.583
Airlie Terminal|-21.3333|115.167
Aldgate|-35.0167|138.733
Amrun|-12.9167|141.617
Annandale|-33.8833|151.167
Applecross|-32.0167|115.833
Armadale|-32.15|116
Arndell Park|-33.7833|150.867
Ashburton|-21.6833|115
Ashton|-34.9333|138.733
Aspendale|-38.0333|145.1
