destination|lat|long
Kirchhellen|51.6|6.93333
Kirchm�ser|52.3667|12.4167
Kirschfurt|50.1667|10.3667
Kochendorf|49.2|9.2
Kolenfeld|52.3833|9.45
K�ln|50.95|6.93333
K�nigs Wusterhausen|52.2833|13.6167
K�nigsmoor|53.6667|9.35
Kosbach|49.6|10.9333
K�sten|50.15|11.0167
K�venig|49.9833|7.11667
Kranzberg|48.4|11.6167
Krautsand|53.75|9.38333
Krefeld|51.3333|6.56667
Kreinitz|51.3667|13.2333
Kriegenbrunn|49.55|10.95
Kronskamp|53.9333|12.3167
Kunkem�hle|52.4|7.36667
Kuppenheim|48.8167|8.25
Lahde|52.3667|9
Landau in der Pfalz|49.2|8.11667
Landkreis Ammerland|53.2167|8.01667
Langballig|54.8|9.63333
Langenbach|48.05|8.28333
Langendamm|54.3|12.4667
Langeoog|53.75|7.48333
Langewiesen|50.6667|10.9833
Langsur|49.7167|6.5
Lankwitz|52.4333|13.35
Lassan|53.95|13.8333
Lathen|52.8667|7.31667
Laubegast|51.0333|13.8333
Laubenheim|49.9167|7.9
Lauenburg/Elbe|53.3667|10.5667
Laussig|51.55|12.6333
Lauta|50.6667|13.15
Leina|50.9|10.6167
Leinatal|50.9|10.6333
Leipheim|48.4333|10.2333
Leissnitz|52.1167|14.2167
Lembruch|52.5333|8.35
Lemwerder|53.1667|8.61667
Lenzen|53.0833|11.4333
Letmathe|51.3667|7.6
Leverkusen|51.0333|7
Lich|50.5167|8.81667
Lichterfelde|52.8667|13.75
Liebenau|52.6|9.1
Liepgarten|53.7167|14.0167
Lieser|49.9167|7.01667
Limeshain|50.25|86.5333
Lindau|47.55|9.68333
Linz am Rhein|50.5667|7.28333
L�hnerheide|52.1833|8.68333
Lommatzsch|51.2|13.3
Longen|49.8|6.78333
Loschwitz|51.05|13.8167
Lubmin|54.1333|13.6
Ludwigsau|50.8833|9.73333
Ludwigshafen|49.4667|8.43333
Ludwigsh�he|49.8167|8.35
L�lsdorf|50.8333|6.98333
Lunow|52.9167|14.1167
L�tgenrode|51.6333|9.91667
Lutjenburg|54.3|10.6
Maasholm|56.6833|10
Mainzlar|50.6667|-8.73333
Malente|54.1667|10.55
Malsfeld|51.0833|9.53333
Mammendorf|48.2|11.15
Mamming|48.65|12.6
Mannheim|49.4833|8.45
Marcardsmoor|53.45|7.71667
Mariensiel|53.5|8.05
Marlow|54.5333|13.55
Martinskirchen|51.4667|13.1833
Maxau|49.0333|8.31667
Maximiliansau|49.0333|8.3
Mehring|49.8|6.81667
Mehrum|52.3|10.1
Meiderich|51.4667|6.76667
Meineweh|51.0833|11.9833
Meissen|51.15|13.4833
Mellensee|52.1833|13.4
Memmert|53.6333|6.9
Mengkofen|48.7167|-123
Mescherin|53.25|14.4333
